t_sec,x_m,y_m,z_m,rx_rad,ry_rad,rz_rad
2.378398,0.276996,-0.086866,0.380249,0.626984,-0.422210,2.144453
2.385752,0.277356,-0.086237,0.378693,0.590350,-0.413848,2.148915
2.398286,0.280221,-0.085502,0.375094,0.567496,-0.408124,2.150999
2.402219,0.280812,-0.084742,0.373369,0.575829,-0.417112,2.153623
2.405735,0.281160,-0.083903,0.371479,0.577027,-0.433956,2.152079
2.409108,0.281405,-0.082862,0.369062,0.602593,-0.432361,2.149442
2.415467,0.281222,-0.079440,0.362595,0.639001,-0.451294,2.144571
2.425684,0.282003,-0.077898,0.357426,0.676575,-0.471789,2.138314
2.428796,0.282472,-0.077413,0.355638,0.680280,-0.477294,2.134030
2.438955,0.283233,-0.076490,0.352183,0.674032,-0.478839,2.133514
2.442637,0.283329,-0.076198,0.350451,0.672703,-0.479491,2.130104
2.445792,0.283409,-0.075913,0.348822,0.674177,-0.487376,2.124340
2.449184,0.283528,-0.075623,0.347324,0.671665,-0.491716,2.121931
2.458642,0.284533,-0.074575,0.342705,0.673803,-0.497995,2.118273
2.462137,0.284912,-0.074169,0.341173,0.674687,-0.505636,2.115079
2.464947,0.285159,-0.073802,0.339602,0.664470,-0.521127,2.112048
2.468682,0.285297,-0.073384,0.337997,0.671513,-0.524946,2.109331
2.472225,0.285522,-0.072853,0.336194,0.685916,-0.536574,2.103089
2.475084,0.285572,-0.072423,0.334712,0.686685,-0.542936,2.100640
2.478508,0.285755,-0.071951,0.333168,0.687653,-0.551045,2.098050
2.482769,0.285977,-0.071564,0.331766,0.686966,-0.559269,2.095178
2.485510,0.286165,-0.071351,0.330469,0.681212,-0.563764,2.093573
2.488750,0.286270,-0.071126,0.329254,0.672160,-0.566219,2.092573
2.492198,0.286532,-0.070815,0.327847,0.675874,-0.572812,2.088401
2.495178,0.286711,-0.070688,0.326529,0.676795,-0.574188,2.085471
2.498749,0.286783,-0.070577,0.325218,0.688363,-0.570434,2.081408
2.502358,0.286801,-0.070485,0.323945,0.694714,-0.579445,2.076610
2.509011,0.287117,-0.070223,0.321224,0.700136,-0.586032,2.074486
2.515639,0.287817,-0.069620,0.318438,0.706652,-0.588531,2.072291
2.518775,0.288373,-0.069227,0.316979,0.715030,-0.595425,2.069227
2.522496,0.288868,-0.068942,0.315631,0.712676,-0.608755,2.067375
2.524996,0.289209,-0.068891,0.314537,0.708654,-0.606547,2.069350
2.528821,0.289376,-0.068904,0.313660,0.704171,-0.603217,2.067814
2.532401,0.289591,-0.068807,0.312343,0.704309,-0.607440,2.066728
2.535152,0.289767,-0.068702,0.311242,0.703251,-0.606122,2.065055
2.538566,0.289900,-0.068781,0.310143,0.695547,-0.596924,2.062444
2.542238,0.290220,-0.068731,0.308901,0.698513,-0.591012,2.057284
2.544715,0.290550,-0.068751,0.307777,0.699673,-0.589938,2.053463
2.549154,0.291028,-0.069523,0.307574,0.680322,-0.578033,2.050297
2.551866,0.291450,-0.070412,0.307452,0.661211,-0.568022,2.048388
2.555784,0.291966,-0.071005,0.307265,0.651545,-0.565743,2.049013
2.558573,0.292154,-0.070778,0.306046,0.658738,-0.575587,2.049382
2.562526,0.292250,-0.070447,0.304723,0.674564,-0.574625,2.049691
2.565344,0.292419,-0.069178,0.302205,0.704070,-0.590972,2.049072
2.575995,0.293053,-0.067649,0.298000,0.740365,-0.611913,2.045414
2.594845,0.293706,-0.066057,0.293557,0.774848,-0.636201,2.040380
2.609852,0.294481,-0.065504,0.290281,0.792730,-0.649520,2.033489
2.613895,0.295677,-0.065396,0.286512,0.786774,-0.634806,2.038111
2.621310,0.296853,-0.065503,0.282831,0.787213,-0.643065,2.035724
2.629498,0.297578,-0.065712,0.280795,0.780531,-0.646143,2.035448
2.641593,0.298543,-0.065801,0.278421,0.779619,-0.652995,2.033668
2.643377,0.300061,-0.066268,0.275723,0.764070,-0.657253,2.040557
2.665944,0.301511,-0.066405,0.272736,0.749215,-0.688545,2.033802
2.676213,0.302821,-0.066976,0.270655,0.733346,-0.690360,2.033283
2.679662,0.304318,-0.067386,0.268554,0.712333,-0.683665,2.037663
2.687860,0.305803,-0.068126,0.266076,0.704488,-0.681539,2.046043
2.698585,0.306762,-0.068280,0.264017,0.698695,-0.677097,2.045588
2.705544,0.307504,-0.068997,0.263047,0.720447,-0.662151,2.052895
2.707736,0.308111,-0.069376,0.261884,0.739467,-0.640964,2.061811
2.721204,0.309012,-0.069542,0.259600,0.749183,-0.647831,2.062398
2.722749,0.309666,-0.069588,0.258323,0.742371,-0.642233,2.060379
2.728627,0.310433,-0.069523,0.256693,0.745519,-0.639228,2.063576
2.734921,0.311204,-0.068719,0.254590,0.754910,-0.654673,2.064146
2.738389,0.312022,-0.067866,0.252372,0.754877,-0.678122,2.061279
2.742126,0.312434,-0.067606,0.251345,0.767693,-0.680577,2.062657
2.744812,0.312745,-0.067470,0.250565,0.783664,-0.680169,2.066906
2.748955,0.312945,-0.067721,0.250104,0.782587,-0.674744,2.068048
2.751678,0.313129,-0.068114,0.249952,0.762696,-0.669801,2.065388
2.755451,0.313351,-0.068642,0.249934,0.750260,-0.658110,2.068014
2.758465,0.313521,-0.069060,0.249952,0.739675,-0.646411,2.070076
2.761734,0.313662,-0.069547,0.249918,0.709087,-0.631833,2.071103
2.765055,0.313929,-0.069557,0.249146,0.713594,-0.635303,2.070744
2.769130,0.314174,-0.069475,0.248210,0.727380,-0.640268,2.069938
2.771833,0.314253,-0.069282,0.247196,0.733166,-0.643439,2.068564
2.775293,0.314366,-0.069193,0.245956,0.734723,-0.647061,2.063943
2.778311,0.314614,-0.068914,0.244435,0.757088,-0.659098,2.059188
2.782744,0.314750,-0.068819,0.243640,0.759769,-0.659036,2.057842
2.784832,0.314892,-0.068812,0.242991,0.764539,-0.658812,2.055356
2.789089,0.315372,-0.069806,0.243195,0.745562,-0.646932,2.054717
2.791199,0.315787,-0.070676,0.243614,0.728459,-0.639899,2.058013
2.794923,0.316052,-0.070886,0.243258,0.721815,-0.640401,2.056584
2.797945,0.316335,-0.070902,0.242685,0.724488,-0.642099,2.051658
2.801589,0.316596,-0.070983,0.242074,0.715173,-0.640834,2.052888
2.804848,0.316718,-0.071069,0.241660,0.718465,-0.641414,2.051684
2.807879,0.316924,-0.071390,0.241182,0.720410,-0.633378,2.049908
2.811299,0.317162,-0.072460,0.241789,0.704485,-0.616047,2.050092
2.814629,0.317375,-0.073787,0.242582,0.695692,-0.610843,2.049660
2.817986,0.317386,-0.074171,0.242202,0.667811,-0.594082,2.049660
2.821788,0.317291,-0.073430,0.240521,0.684139,-0.604844,2.043587
2.824801,0.317164,-0.072402,0.238779,0.706978,-0.625710,2.037912
2.828418,0.317162,-0.071549,0.237040,0.727235,-0.637947,2.033772
2.831402,0.317444,-0.071419,0.236125,0.715472,-0.635384,2.036423
2.835247,0.318037,-0.072216,0.236519,0.720155,-0.634122,2.034269
2.837840,0.318644,-0.073151,0.237240,0.697407,-0.625362,2.038718
2.841463,0.319263,-0.074101,0.237990,0.673764,-0.612410,2.041144
2.844635,0.319805,-0.075004,0.238537,0.652402,-0.604852,2.044113
2.847923,0.320110,-0.075080,0.238196,0.671435,-0.608136,2.039732
2.854505,0.319589,-0.073409,0.234566,0.698413,-0.626638,2.034896
2.858325,0.319283,-0.072393,0.232514,0.708680,-0.629805,2.031545
2.861860,0.319049,-0.070542,0.230032,0.752516,-0.652410,2.025587
2.865211,0.318757,-0.068750,0.227692,0.800374,-0.680525,2.012404
2.868125,0.319127,-0.068473,0.226842,0.802624,-0.687889,2.009350
2.871650,0.319496,-0.068196,0.225992,0.801820,-0.690461,2.008544
2.875257,0.319833,-0.068139,0.225466,0.846138,-0.718879,1.996183
2.878366,0.320447,-0.068965,0.225434,0.821839,-0.710743,1.993991
2.882015,0.321061,-0.069791,0.225401,0.800333,-0.706454,1.999129
