t_sec,x_m,y_m,z_m,rx_rad,ry_rad,rz_rad
0.002422,0.433934,0.133119,0.160344,2.743877,0.585180,0.768942
0.006092,0.433840,0.133246,0.160264,2.749083,0.595009,0.761139
0.008868,0.433981,0.133251,0.160323,2.746412,0.591068,0.766810
0.012423,0.434078,0.133295,0.160353,2.748843,0.591114,0.765362
0.015486,0.434226,0.133242,0.160478,2.750216,0.595302,0.762446
0.021804,0.434708,0.133024,0.160519,2.745200,0.594902,0.766840
0.024840,0.435179,0.132796,0.160587,2.738752,0.584690,0.775037
0.028184,0.435461,0.132619,0.160545,2.739151,0.586088,0.772853
0.031444,0.435626,0.132517,0.160434,2.735649,0.580552,0.776174
0.035336,0.435885,0.132264,0.160301,2.732312,0.582641,0.774664
0.038727,0.435998,0.132070,0.160246,2.730905,0.582418,0.772755
0.041817,0.436159,0.131849,0.160200,2.729664,0.581727,0.772541
0.045339,0.436306,0.131654,0.160179,2.726957,0.579217,0.772448
0.048579,0.436432,0.131552,0.160171,2.730871,0.576902,0.769838
0.052022,0.436462,0.131611,0.160204,2.741454,0.556483,0.778045
0.055364,0.436622,0.131585,0.160231,2.742441,0.555419,0.778474
0.058493,0.436714,0.131551,0.160296,2.743771,0.554249,0.780393
0.061708,0.436797,0.131498,0.160369,2.746087,0.552176,0.779111
0.064739,0.436809,0.131316,0.160450,2.746050,0.555421,0.778232
0.068315,0.436755,0.131112,0.160499,2.739870,0.568473,0.770274
0.071549,0.436193,0.130985,0.160494,2.744118,0.576631,0.760036
0.075303,0.435652,0.130893,0.160443,2.747169,0.585281,0.747336
0.078272,0.435505,0.130697,0.160444,2.752355,0.581440,0.744389
0.081510,0.435684,0.130827,0.160179,2.753107,0.569491,0.751352
0.085185,0.435699,0.130982,0.159834,2.765481,0.547252,0.758175
0.088429,0.435983,0.131239,0.159525,2.776013,0.523923,0.767074
0.091429,0.436257,0.131464,0.159224,2.787564,0.492061,0.778303
0.095287,0.436207,0.131790,0.158857,2.796338,0.473189,0.784652
0.098279,0.436061,0.131633,0.158714,2.802825,0.464940,0.783600
0.101682,0.436150,0.131437,0.158657,2.782078,0.485786,0.774277
0.104950,0.436376,0.130462,0.159082,2.782766,0.472804,0.778437
0.108246,0.436518,0.130231,0.159010,2.762617,0.503948,0.770435
0.111479,0.436621,0.129808,0.158876,2.763199,0.503502,0.770223
0.115175,0.436660,0.129577,0.158776,2.764309,0.497780,0.767829
0.118809,0.436443,0.128995,0.159157,2.772434,0.492713,0.765621
0.121627,0.435909,0.128553,0.159176,2.752641,0.531476,0.746722
0.125334,0.435448,0.127289,0.159642,2.751803,0.535851,0.736153
0.128119,0.434963,0.126202,0.160136,2.731106,0.569298,0.716564
0.131694,0.434474,0.125081,0.160615,2.708282,0.606293,0.698707
0.149212,0.434391,0.123906,0.160544,2.721486,0.588271,0.703193
0.158850,0.434750,0.123913,0.159773,2.716901,0.589316,0.704265
0.162679,0.435196,0.123800,0.159268,2.726226,0.559974,0.720588
0.165789,0.435643,0.123671,0.158757,2.728387,0.540068,0.732059
0.178325,0.436123,0.123376,0.158333,2.736330,0.508878,0.747840
0.182064,0.436507,0.123247,0.157860,2.716898,0.515405,0.749998
0.215208,0.436979,0.121005,0.158697,2.723613,0.484908,0.763056
0.225968,0.436999,0.120277,0.159012,2.717025,0.484816,0.764256
0.236996,0.436992,0.118964,0.159598,2.716888,0.476233,0.770027
0.238858,0.436855,0.118356,0.159874,2.712169,0.480195,0.769069
0.249388,0.436723,0.117712,0.160055,2.711665,0.482448,0.763322
0.257688,0.436597,0.117086,0.160219,2.712820,0.481677,0.762497
0.262263,0.436340,0.116519,0.160260,2.713485,0.484359,0.758535
0.267792,0.436175,0.116020,0.160326,2.715426,0.483807,0.756344
0.272498,0.436060,0.115574,0.160275,2.718399,0.477322,0.756267
0.275376,0.435974,0.115226,0.160253,2.714944,0.485557,0.756515
0.279224,0.435862,0.114907,0.160121,2.715341,0.482105,0.757149
0.281945,0.435780,0.114634,0.159988,2.719679,0.470544,0.760483
0.285741,0.435648,0.114410,0.159775,2.721088,0.461896,0.763803
0.289105,0.435593,0.114256,0.159784,2.721368,0.457458,0.766490
0.291987,0.435538,0.114098,0.159791,2.728937,0.436062,0.774368
0.295195,0.435532,0.113919,0.159839,2.733025,0.424537,0.779327
0.299092,0.435429,0.113673,0.159844,2.731667,0.422229,0.780344
0.301995,0.435300,0.113472,0.159898,2.735395,0.413555,0.782596
0.306012,0.435116,0.113400,0.159743,2.743255,0.399706,0.787387
0.309152,0.434952,0.113282,0.159577,2.749909,0.387746,0.791117
0.312523,0.434779,0.113140,0.159427,2.751957,0.383445,0.793416
0.315673,0.434721,0.112945,0.159375,2.757328,0.374615,0.796007
0.319085,0.434650,0.112764,0.159299,2.760175,0.371600,0.796447
0.321927,0.434538,0.112526,0.159281,2.762052,0.369222,0.794330
0.325764,0.434348,0.112201,0.159342,2.762045,0.367586,0.792166
0.328933,0.434167,0.111853,0.159369,2.761312,0.366518,0.789700
0.332162,0.433988,0.111555,0.159432,2.763145,0.363500,0.789414
0.335437,0.433836,0.111161,0.159467,2.762426,0.362915,0.786817
0.339202,0.433732,0.110809,0.159473,2.761881,0.362165,0.788093
0.341906,0.433676,0.110523,0.159379,2.761291,0.363805,0.787504
0.345594,0.433637,0.110294,0.159333,2.761748,0.363042,0.788772
0.349253,0.433598,0.109975,0.159260,2.759302,0.362784,0.789887
0.352242,0.433549,0.109745,0.159250,2.753600,0.371209,0.789769
0.355467,0.433532,0.109476,0.159205,2.753665,0.367141,0.789360
0.358499,0.433510,0.109229,0.159166,2.753260,0.362539,0.792228
