t_sec,x_m,y_m,z_m,rx_rad,ry_rad,rz_rad
0.002422,0.358217,0.140769,0.161958,2.762006,0.560226,0.791196
0.006092,0.358353,0.140859,0.162055,2.768101,0.560933,0.792362
0.008868,0.358289,0.140847,0.162026,2.765106,0.561596,0.793123
0.012423,0.358384,0.140829,0.162084,2.765781,0.564177,0.790820
0.015486,0.358375,0.140820,0.162088,2.768300,0.564169,0.788337
0.021804,0.358561,0.140489,0.161957,2.765116,0.564778,0.784196
0.024840,0.358697,0.140172,0.161811,2.757137,0.564000,0.781712
0.028184,0.359020,0.139882,0.161772,2.754522,0.564829,0.787379
0.031444,0.359266,0.139624,0.161764,2.749196,0.562819,0.789937
0.035336,0.359526,0.139349,0.161691,2.745832,0.564974,0.788460
0.038727,0.359642,0.139152,0.161625,2.744447,0.564743,0.786589
0.041817,0.359799,0.138932,0.161566,2.743221,0.564027,0.786393
0.045339,0.359916,0.138763,0.161492,2.742803,0.561469,0.778092
0.048579,0.359963,0.138668,0.161329,2.744028,0.563907,0.775748
0.052022,0.359995,0.138591,0.161229,2.749396,0.551357,0.780894
0.055364,0.360152,0.138558,0.161279,2.750354,0.550286,0.781325
0.058493,0.360251,0.138516,0.161348,2.751445,0.549310,0.784259
0.061708,0.360339,0.138479,0.161458,2.753765,0.547189,0.782970
0.064739,0.360368,0.138384,0.161583,2.758148,0.542075,0.782532
0.068315,0.360401,0.138362,0.161758,2.757164,0.547159,0.777589
0.071549,0.360274,0.138445,0.161969,2.762690,0.546264,0.777570
0.075303,0.360182,0.138555,0.162159,2.767274,0.545724,0.774096
0.078272,0.360072,0.138359,0.162158,2.769138,0.545909,0.771100
0.081510,0.360175,0.138241,0.162036,2.764513,0.542059,0.775054
0.085185,0.360195,0.137947,0.161790,2.769748,0.530992,0.778268
0.088429,0.360155,0.137664,0.161413,2.771817,0.524747,0.774984
0.091429,0.360072,0.137358,0.161047,2.777254,0.509755,0.773302
0.095287,0.360082,0.137334,0.160828,2.784400,0.494530,0.777010
0.098279,0.360082,0.137053,0.160725,2.787596,0.490666,0.775728
0.101682,0.360167,0.136881,0.160681,2.771558,0.503737,0.769317
0.104950,0.360282,0.136250,0.160894,2.775615,0.492521,0.772138
0.108246,0.360380,0.136065,0.160823,2.762047,0.512308,0.767795
0.111479,0.360421,0.135753,0.160699,2.762537,0.512020,0.767449
0.115175,0.360410,0.135633,0.160610,2.766391,0.507260,0.764313
0.118809,0.360410,0.135234,0.160840,2.771164,0.505163,0.762527
0.121627,0.360353,0.135063,0.160993,2.757154,0.525166,0.757915
0.125334,0.360330,0.134446,0.161402,2.756514,0.524183,0.757284
0.128119,0.360303,0.133923,0.161848,2.742593,0.542282,0.752113
0.131694,0.360280,0.133359,0.162278,2.725423,0.561330,0.747922
0.149212,0.360409,0.132591,0.162420,2.736530,0.541531,0.759141
0.158850,0.360758,0.132293,0.162081,2.730251,0.543752,0.760580
0.162679,0.361023,0.131738,0.161853,2.731427,0.527650,0.772023
0.165789,0.361381,0.131153,0.161650,2.725395,0.521865,0.777154
0.178325,0.361676,0.130384,0.161417,2.730667,0.501805,0.781751
0.182064,0.361822,0.129842,0.160979,2.714677,0.509475,0.775772
0.215208,0.361446,0.127218,0.160711,2.719636,0.489049,0.776800
0.225968,0.361232,0.126455,0.160788,2.717047,0.486625,0.771239
0.236996,0.361020,0.125164,0.161191,2.723784,0.470628,0.772369
0.238858,0.360852,0.124635,0.161391,2.720328,0.472420,0.773362
0.249388,0.360674,0.124034,0.161494,2.721529,0.471937,0.768812
0.257688,0.360511,0.123457,0.161566,2.724220,0.468088,0.770318
0.262263,0.360297,0.122916,0.161549,2.726328,0.468376,0.767481
0.267792,0.360091,0.122445,0.161566,2.728019,0.468078,0.766165
0.272498,0.359995,0.122014,0.161482,2.731768,0.460507,0.766801
0.275376,0.359924,0.121655,0.161449,2.729471,0.466242,0.768704
0.279224,0.359855,0.121294,0.161381,2.729906,0.462679,0.769353
0.281945,0.359815,0.120887,0.161363,2.730753,0.455850,0.770315
0.285741,0.359781,0.120512,0.161374,2.728378,0.452932,0.771051
0.289105,0.359807,0.120223,0.161510,2.727869,0.449318,0.773284
0.291987,0.359851,0.119970,0.161616,2.730990,0.435148,0.777144
0.295195,0.359808,0.119689,0.161764,2.734536,0.425161,0.781780
0.299092,0.359722,0.119432,0.161748,2.736770,0.417020,0.786574
0.301995,0.359579,0.119238,0.161719,2.743600,0.403963,0.791202
0.306012,0.359371,0.119097,0.161585,2.751327,0.390562,0.795870
0.309152,0.359190,0.118925,0.161449,2.760991,0.374130,0.802963
0.312523,0.359104,0.118773,0.161263,2.763092,0.369647,0.805332
0.315673,0.359055,0.118555,0.161219,2.767906,0.362404,0.807405
0.319085,0.358992,0.118356,0.161125,2.770807,0.359278,0.807760
0.321927,0.358892,0.118096,0.161095,2.772658,0.356913,0.805550
0.325764,0.358741,0.117819,0.161109,2.773240,0.355092,0.803851
0.328933,0.358580,0.117527,0.161098,2.773113,0.353846,0.801837
0.332162,0.358440,0.117365,0.161023,2.776026,0.352378,0.801257
0.335437,0.358329,0.117151,0.160936,2.776990,0.353246,0.798794
0.339202,0.358220,0.116871,0.160904,2.777162,0.352158,0.800573
0.341906,0.358150,0.116586,0.160814,2.776535,0.353871,0.799886
0.345594,0.358120,0.116347,0.160759,2.776874,0.353191,0.801118
0.349253,0.358067,0.115943,0.160784,2.773943,0.351099,0.803075
0.352242,0.357995,0.115580,0.160862,2.765740,0.359100,0.802287
0.355467,0.358021,0.115289,0.160825,2.766539,0.353164,0.802286
0.358499,0.358026,0.115065,0.160806,2.767008,0.346519,0.805710
0.361919,0.357964,0.114740,0.160841,2.763762,0.345774,0.801103
0.365250,0.357857,0.114421,0.160959,2.766164,0.335921,0.802184
0.375680,0.357451,0.113550,0.161128,2.773699,0.315653,0.807915
0.378874,0.357196,0.113257,0.161062,2.773019,0.316014,0.805906
0.382335,0.356981,0.113007,0.160930,2.769603,0.317809,0.804234
0.385365,0.356783,0.112714,0.160817,2.770910,0.313334,0.807614
0.395177,0.356250,0.111425,0.160686,2.766563,0.317557,0.804688
0.398915,0.356068,0.110975,0.160756,2.761720,0.321025,0.801236
0.402099,0.355887,0.110603,0.160832,2.757781,0.319302,0.800242
0.405395,0.355634,0.110237,0.160907,2.760609,0.308192,0.800433
0.408776,0.355417,0.109870,0.160989,2.760939,0.302559,0.798760
0.411913,0.355272,0.109614,0.161081,2.762819,0.296667,0.799757
0.414998,0.355174,0.109383,0.161120,2.765083,0.291355,0.800247
0.418724,0.355017,0.109057,0.161126,2.767464,0.286361,0.801203
0.421773,0.354895,0.108753,0.161229,2.765952,0.289228,0.799619
0.424998,0.354748,0.108473,0.161254,2.769310,0.280077,0.800581
0.428950,0.354573,0.108185,0.161349,2.769709,0.279255,0.798708
0.431941,0.354364,0.107854,0.161404,2.772666,0.271213,0.798396
0.435211,0.354168,0.107566,0.161531,2.771253,0.271772,0.797515
0.438434,0.353944,0.107189,0.161653,2.775580,0.258277,0.799775
0.447430,0.353714,0.106831,0.161802,2.775717,0.253419,0.800611
0.455769,0.353371,0.106304,0.161928,2.775044,0.247468,0.795117
0.458006,0.352980,0.105696,0.162000,2.774838,0.240090,0.795851
0.466257,0.352599,0.105107,0.162106,2.774453,0.235407,0.797290
0.470192,0.352246,0.104534,0.162200,2.768273,0.244426,0.796471
0.473498,0.351880,0.103910,0.162343,2.762153,0.251497,0.798340
0.480292,0.351464,0.103422,0.162345,2.761694,0.250499,0.804072
0.483307,0.351118,0.103087,0.162454,2.759005,0.258283,0.802796
0.492183,0.350681,0.102565,0.162517,2.758849,0.255748,0.801444
0.494344,0.350123,0.101743,0.162677,2.758113,0.251216,0.799868
0.511861,0.349488,0.100918,0.162871,2.757090,0.246829,0.797878
0.522226,0.349013,0.099960,0.163092,2.749347,0.248718,0.798594
0.526525,0.348552,0.099034,0.163301,2.740700,0.250611,0.798572
0.530418,0.348174,0.098396,0.163502,2.737074,0.248703,0.799616
0.533265,0.347882,0.098197,0.163528,2.736524,0.247044,0.800550
0.540360,0.347502,0.098062,0.163575,2.740767,0.237840,0.796878
0.542930,0.347054,0.097800,0.163725,2.742575,0.233821,0.798572
0.553432,0.346551,0.097543,0.163881,2.744603,0.229554,0.799068
0.563959,0.346060,0.097127,0.164026,2.745798,0.225019,0.801442
0.569242,0.345603,0.096637,0.164132,2.741659,0.225338,0.804190
0.575538,0.345273,0.096147,0.164149,2.736604,0.228839,0.808325
0.578972,0.344892,0.095932,0.164083,2.740142,0.221276,0.804480
0.582179,0.344528,0.095702,0.164045,2.741588,0.216989,0.804733
0.584934,0.344178,0.095548,0.164023,2.743396,0.214701,0.803895
0.588842,0.343595,0.095406,0.163915,2.750337,0.206730,0.795708
0.591462,0.343047,0.095250,0.163882,2.752626,0.205024,0.788628
0.595024,0.342610,0.095024,0.163866,2.752526,0.206709,0.787232
0.598482,0.342298,0.094927,0.163902,2.754813,0.204150,0.780819
0.601954,0.341982,0.094981,0.164024,2.757619,0.198680,0.778034
0.605267,0.341947,0.095072,0.164302,2.759795,0.193109,0.781517
