t_sec,x_m,y_m,z_m,rx_rad,ry_rad,rz_rad
0.002422,0.428166,0.136701,0.159467,2.762006,0.560226,0.791196
0.006092,0.428294,0.136784,0.159543,2.768101,0.560933,0.792362
0.008868,0.428228,0.136778,0.159524,2.765106,0.561596,0.793123
0.012423,0.428322,0.136750,0.159601,2.765781,0.564177,0.790820
0.015486,0.428289,0.136707,0.159649,2.768300,0.564169,0.788337
0.021804,0.428457,0.136373,0.159548,2.765116,0.564778,0.784196
0.024840,0.428586,0.136049,0.159435,2.757137,0.564000,0.781712
0.028184,0.428896,0.135747,0.159408,2.754522,0.564829,0.787379
0.031444,0.429145,0.135509,0.159371,2.749196,0.562819,0.789937
0.035336,0.429402,0.135236,0.159273,2.745832,0.564974,0.788460
0.038727,0.429516,0.135044,0.159217,2.744447,0.564743,0.786589
0.041817,0.429669,0.134828,0.159167,2.743221,0.564027,0.786393
0.045339,0.429787,0.134661,0.159095,2.742803,0.561469,0.778092
0.048579,0.429836,0.134589,0.158980,2.744028,0.563907,0.775748
0.052022,0.429876,0.134552,0.158927,2.749396,0.551357,0.780894
0.055364,0.430040,0.134540,0.158952,2.750354,0.550286,0.781325
0.058493,0.430132,0.134508,0.159016,2.751445,0.549310,0.784259
0.061708,0.430210,0.134469,0.159122,2.753765,0.547189,0.782970
0.064739,0.430219,0.134373,0.159225,2.758148,0.542075,0.782532
0.068315,0.430232,0.134350,0.159381,2.757164,0.547159,0.777589
0.071549,0.430091,0.134433,0.159610,2.762690,0.546264,0.777570
0.075303,0.429998,0.134549,0.159813,2.767274,0.545724,0.774096
0.078272,0.429884,0.134375,0.159843,2.769138,0.545909,0.771100
0.081510,0.430003,0.134267,0.159691,2.764513,0.542059,0.775054
0.085185,0.429994,0.134027,0.159409,2.769748,0.530992,0.778268
0.088429,0.429913,0.133857,0.159028,2.771817,0.524747,0.774984
0.091429,0.429798,0.133671,0.158634,2.777254,0.509755,0.773302
0.095287,0.429772,0.133752,0.158386,2.784400,0.494530,0.777010
0.098279,0.429749,0.133519,0.158270,2.787596,0.490666,0.775728
0.101682,0.429851,0.133346,0.158229,2.771558,0.503737,0.769317
0.104950,0.430012,0.132569,0.158490,2.775615,0.492521,0.772138
0.108246,0.430107,0.132388,0.158421,2.762047,0.512308,0.767795
0.111479,0.430162,0.132077,0.158283,2.762537,0.512020,0.767449
0.115175,0.430135,0.131999,0.158208,2.766391,0.507260,0.764313
0.118809,0.430135,0.131516,0.158493,2.771164,0.505163,0.762527
0.121627,0.430076,0.131384,0.158659,2.757154,0.525166,0.757915
0.125334,0.430094,0.130621,0.159133,2.756514,0.524183,0.757284
0.128119,0.430096,0.129962,0.159644,2.742593,0.542282,0.752113
0.131694,0.430099,0.129264,0.160139,2.725423,0.561330,0.747922
0.149212,0.430226,0.128438,0.160280,2.736530,0.541531,0.759141
0.158850,0.430549,0.128180,0.159809,2.730251,0.543752,0.760580
0.162679,0.430851,0.127686,0.159556,2.731427,0.527650,0.772023
0.165789,0.431193,0.127137,0.159298,2.725395,0.521865,0.777154
0.178325,0.431496,0.126423,0.159024,2.730667,0.501805,0.781751
0.182064,0.431613,0.126005,0.158528,2.714677,0.509475,0.775772
0.215208,0.431154,0.123595,0.158326,2.719636,0.489049,0.776800
0.225968,0.430920,0.122895,0.158404,2.717047,0.486625,0.771239
0.236996,0.430682,0.121672,0.158758,2.723784,0.470628,0.772369
0.238858,0.430498,0.121140,0.158946,2.720328,0.472420,0.773362
0.249388,0.430332,0.120560,0.159034,2.721529,0.471937,0.768812
0.257688,0.430170,0.119996,0.159125,2.724220,0.468088,0.770318
0.262263,0.429959,0.119470,0.159100,2.726328,0.468376,0.767481
0.267792,0.429719,0.118998,0.159148,2.728019,0.468078,0.766165
0.272498,0.429631,0.118619,0.159058,2.731768,0.460507,0.766801
0.275376,0.429544,0.118298,0.159016,2.729471,0.466242,0.768704
0.279224,0.429452,0.117925,0.158901,2.729906,0.462679,0.769353
0.281945,0.429409,0.117550,0.158902,2.730753,0.455850,0.770315
0.285741,0.429383,0.117206,0.158876,2.728378,0.452932,0.771051
0.289105,0.429407,0.116940,0.158991,2.727869,0.449318,0.773284
0.291987,0.429444,0.116693,0.159079,2.730990,0.435148,0.777144
0.295195,0.429401,0.116529,0.159209,2.734536,0.425161,0.781780
0.299092,0.429313,0.116374,0.159124,2.736770,0.417020,0.786574
0.301995,0.429152,0.116276,0.159031,2.743600,0.403963,0.791202
0.306012,0.428934,0.116238,0.158851,2.751327,0.390562,0.795870
0.309152,0.428737,0.116177,0.158672,2.760991,0.374130,0.802963
0.312523,0.428639,0.116063,0.158456,2.763092,0.369647,0.805332
0.315673,0.428583,0.115871,0.158407,2.767906,0.362404,0.807405
