t_sec,shoulder_joint,upperArm_joint,foreArm_joint,wrist1_joint,wrist2_joint,wrist3_joint,hand_gesture_id,hand_rog,hand_pose_name
0.001225,-0.056108492,-0.992613466,1.898521879,-2.538331130,2.036471296,1.646731839,2,1,five_open
0.025467,-0.056108492,-0.992613466,1.898521879,-2.538331130,2.036471296,1.646731839,2,1,five_open
0.049710,-0.056108492,-0.992613466,1.898521879,-2.538331130,2.036471296,1.646731839,2,1,five_open
0.073952,-0.056108492,-0.992613466,1.898521879,-2.538331130,2.036471296,1.646731839,2,1,five_open
0.098195,-0.056108492,-0.992613466,1.898521879,-2.538331130,2.036471296,1.646731839,2,1,five_open
0.122437,-0.056108492,-0.992613466,1.898521879,-2.538331130,2.036471296,1.646731839,2,1,five_open
0.146680,-0.056108492,-0.992613466,1.898521879,-2.538331130,2.036471296,1.646731839,2,1,five_open
0.170922,-0.056108492,-0.992613466,1.898521879,-2.538331130,2.036471296,1.646731839,2,1,five_open
0.195164,-0.056108492,-0.992613466,1.898521879,-2.538331130,2.036471296,1.646731839,2,1,five_open
0.219407,-0.056108492,-0.992613466,1.898521879,-2.538331130,2.036471296,1.646731839,2,1,five_open
0.243649,-0.056108492,-0.992613466,1.898521879,-2.538331130,2.036471296,1.646731839,2,1,five_open
0.267892,-0.056108492,-0.992613466,1.898521879,-2.538331130,2.036471296,1.646731839,2,1,five_open
0.292134,-0.056108492,-0.992613466,1.898521879,-2.538331130,2.036471296,1.646731839,2,1,five_open
0.316377,-0.056108492,-0.992613466,1.898521879,-2.538331130,2.036471296,1.646731839,2,1,five_open
0.340619,-0.056108492,-0.992613466,1.898521879,-2.538331130,2.036471296,1.646731839,2,1,five_open
0.364861,-0.056108492,-0.992613466,1.898521879,-2.538331130,2.036471296,1.646731839,2,1,five_open
0.389104,-0.056108492,-0.992613466,1.898521879,-2.538331130,2.036471296,1.646731839,2,1,five_open
0.413346,-0.056108492,-0.992613466,1.898521879,-2.538331130,2.036471296,1.646731839,2,1,five_open
0.437589,-0.056108492,-0.992613466,1.898521879,-2.538331130,2.036471296,1.646731839,2,1,five_open
0.461831,-0.055931990,-0.993425840,1.898980771,-2.537343117,2.035650333,1.645678885,2,1,five_open
0.486073,-0.055705266,-0.994469363,1.899570234,-2.536073977,2.034595776,1.644326327,2,1,five_open
0.510316,-0.055478542,-0.995512887,1.900159697,-2.534804838,2.033541219,1.642973768,2,1,five_open
0.534558,-0.055251819,-0.996556411,1.900749160,-2.533535699,2.032486662,1.641621210,2,1,five_open
0.558801,-0.055025095,-0.997599935,1.901338623,-2.532266560,2.031432106,1.640268652,2,1,five_open
0.583043,-0.054798371,-0.998643459,1.901928086,-2.530997420,2.030377549,1.638916094,2,1,five_open
0.607286,-0.054571647,-0.999686982,1.902517549,-2.529728281,2.029322992,1.637563536,2,1,five_open
0.631528,-0.054344924,-1.000730506,1.903107012,-2.528459142,2.028268435,1.636210977,2,1,five_open
0.655770,-0.054118200,-1.001774030,1.903696475,-2.527190002,2.027213878,1.634858419,2,1,five_open
0.680013,-0.053316795,-1.003697599,1.905419441,-2.525932905,2.024283595,1.633603298,2,1,five_open
0.704255,-0.052550782,-1.005024886,1.906961843,-2.525666777,2.021713698,1.633425055,2,1,five_open
0.728498,-0.051834990,-1.006121023,1.908373674,-2.525681775,2.019377395,1.633546417,2,1,five_open
0.752740,-0.051119198,-1.007217160,1.909785505,-2.525696774,2.017041091,1.633667779,2,1,five_open
0.776983,-0.050403406,-1.008313298,1.911197336,-2.525711772,2.014704788,1.633789140,2,1,five_open
0.801225,-0.049687614,-1.009409435,1.912609167,-2.525726771,2.012368484,1.633910502,2,1,five_open
0.825467,-0.048971823,-1.010505572,1.914020998,-2.525741769,2.010032181,1.634031864,2,1,five_open
0.849710,-0.048256031,-1.011601709,1.915432829,-2.525756767,2.007695878,1.634153225,2,1,five_open
0.873952,-0.047540239,-1.012697846,1.916844659,-2.525771766,2.005359574,1.634274587,2,1,five_open
0.898195,-0.047675815,-1.014743266,1.918190593,-2.525538033,2.006462972,1.633919273,2,1,five_open
0.922437,-0.048386073,-1.015908642,1.918403024,-2.525292258,2.009442096,1.633466521,2,1,five_open
0.946680,-0.049237441,-1.016857925,1.918337127,-2.525043527,2.012881798,1.632989845,2,1,five_open
0.970922,-0.050088809,-1.017807208,1.918271230,-2.524794796,2.016321499,1.632513169,2,1,five_open
0.995164,-0.050940178,-1.018756492,1.918205334,-2.524546065,2.019761201,1.632036493,2,1,five_open
1.019407,-0.051791546,-1.019705775,1.918139437,-2.524297333,2.023200903,1.631559816,2,1,five_open
1.043649,-0.052642914,-1.020655058,1.918073540,-2.524048602,2.026640604,1.631083140,2,1,five_open
1.067892,-0.053494282,-1.021604341,1.918007643,-2.523799871,2.030080306,1.630606464,2,1,five_open
1.092134,-0.054345651,-1.022553625,1.917941746,-2.523551139,2.033520007,1.630129787,2,1,five_open
1.116377,-0.055197019,-1.023502908,1.917875849,-2.523302408,2.036959709,1.629653111,2,1,five_open
1.140619,-0.055197019,-1.023502908,1.917875849,-2.523302408,2.036959709,1.629653111,2,1,five_open
1.164861,-0.055197019,-1.023502908,1.917875849,-2.523302408,2.036959709,1.629653111,2,1,five_open
1.189104,-0.055197019,-1.023502908,1.917875849,-2.523302408,2.036959709,1.629653111,2,1,five_open
1.213346,-0.055057333,-1.024029793,1.918303118,-2.523009637,2.036495058,1.629344026,2,1,five_open
1.237589,-0.054784843,-1.025057602,1.919136604,-2.522438521,2.035588651,1.628741085,2,1,five_open
1.261831,-0.054512352,-1.026085410,1.919970090,-2.521867404,2.034682244,1.628138144,2,1,five_open
1.286073,-0.054239862,-1.027113219,1.920803576,-2.521296288,2.033775836,1.627535203,2,1,five_open
1.310316,-0.053967372,-1.028141028,1.921637062,-2.520725171,2.032869429,1.626932262,2,1,five_open
1.334558,-0.053694882,-1.029168837,1.922470548,-2.520154055,2.031963022,1.626329321,2,1,five_open
1.358801,-0.053422392,-1.030196646,1.923304034,-2.519582939,2.031056614,1.625726380,2,1,five_open
1.383043,-0.053149902,-1.031224454,1.924137519,-2.519011822,2.030150207,1.625123439,2,1,five_open
1.407286,-0.052877412,-1.032252263,1.924971005,-2.518440706,2.029243800,1.624520498,2,1,five_open
1.431528,-0.052604922,-1.033280072,1.925804491,-2.517869589,2.028337392,1.623917557,2,1,five_open
1.455770,-0.052472118,-1.033780996,1.926210708,-2.517591244,2.027895636,1.623623701,2,1,five_open
1.480013,-0.052472118,-1.033780996,1.926210708,-2.517591244,2.027895636,1.623623701,2,1,five_open
1.504255,-0.052472118,-1.033780996,1.926210708,-2.517591244,2.027895636,1.623623701,2,1,five_open
1.528498,-0.052472118,-1.033780996,1.926210708,-2.517591244,2.027895636,1.623623701,2,1,five_open
1.552740,-0.052472118,-1.033780996,1.926210708,-2.517591244,2.027895636,1.623623701,2,1,five_open
1.576983,-0.052472118,-1.033780996,1.926210708,-2.517591244,2.027895636,1.623623701,2,1,five_open
1.601225,-0.052472118,-1.033780996,1.926210708,-2.517591244,2.027895636,1.623623701,2,1,five_open
1.625467,-0.052472118,-1.033780996,1.926210708,-2.517591244,2.027895636,1.623623701,2,1,five_open
1.649710,-0.052472118,-1.033780996,1.926210708,-2.517591244,2.027895636,1.623623701,2,1,five_open
1.673952,-0.052472118,-1.033780996,1.926210708,-2.517591244,2.027895636,1.623623701,2,1,five_open
1.698195,-0.052472118,-1.033780996,1.926210708,-2.517591244,2.027895636,1.623623701,2,1,five_open
1.722437,-0.052472118,-1.033780996,1.926210708,-2.517591244,2.027895636,1.623623701,2,1,five_open
1.746680,-0.052472118,-1.033780996,1.926210708,-2.517591244,2.027895636,1.623623701,2,1,five_open
1.770922,-0.052897011,-1.034572332,1.926918275,-2.516986174,2.028260422,1.623371898,2,1,five_open
1.795164,-0.053321905,-1.035363667,1.927625841,-2.516381103,2.028625208,1.623120095,2,1,five_open
