t_sec,x_m,y_m,z_m,qw,qx,qy,qz,rx,ry,rz,hand_gesture_id,hand_rog,hand_pose_name
0.001225,0.331238,-0.062157,0.141243,-0.085858126,0.356973583,0.196447806,0.909179027,-1.064020891,-0.585546323,-2.709963771,,,
0.025467,0.331195,-0.062153,0.141163,-0.085808068,0.356929745,0.196311969,0.909230303,-1.063921617,-0.585158707,-2.710196581,,,
0.049710,0.331150,-0.062148,0.141074,-0.085757074,0.356878696,0.196169341,0.909285934,-1.063801433,-0.584751143,-2.710443884,,,
0.073952,0.331101,-0.062143,0.140974,-0.085704919,0.356845943,0.196013642,0.909337282,-1.063736508,-0.584304994,-2.710680289,,,
0.098195,0.331050,-0.062136,0.140868,-0.085658887,0.356824527,0.195849279,0.909385436,-1.063701535,-0.583830884,-2.710897405,,,
0.122437,0.330997,-0.062125,0.140759,-0.085613562,0.356825635,0.195577939,0.909447664,-1.063733265,-0.583037592,-2.711155357,,,
0.146680,0.330943,-0.062110,0.140648,-0.085568740,0.356849644,0.195196012,0.909524513,-1.063832951,-0.581914410,-2.711456106,,,
0.170922,0.330887,-0.062088,0.140535,-0.085525650,0.356909901,0.194662708,0.909619215,-1.064039621,-0.580339278,-2.711807330,,,
0.195164,0.330826,-0.062059,0.140415,-0.085486544,0.357026240,0.193970014,0.909725205,-1.064411004,-0.578287516,-2.712185853,,,
0.219407,0.330760,-0.062029,0.140283,-0.085458768,0.357192287,0.193278001,0.909809916,-1.064923485,-0.576233839,-2.712482831,,,
0.243649,0.330690,-0.061999,0.140145,-0.085439230,0.357384130,0.192587388,0.909882860,-1.065507716,-0.574181477,-2.712731560,,,
0.267892,0.330614,-0.061977,0.139993,-0.085441024,0.357588147,0.192128925,0.909899459,-1.066114847,-0.572814006,-2.712778176,,,
0.292134,0.330533,-0.061968,0.139827,-0.085456274,0.357781441,0.192008401,0.909847481,-1.066681542,-0.572449529,-2.712598816,,,
0.316377,0.330449,-0.061957,0.139655,-0.085478595,0.357961673,0.191913220,0.909794574,-1.067204833,-0.572158226,-2.712405379,,,
0.340619,0.330362,-0.061947,0.139475,-0.085497961,0.358137745,0.191821991,0.909742699,-1.067717572,-0.571879712,-2.712219749,,,
