t_sec,x_m,y_m,z_m,rx_rad,ry_rad,rz_rad
0.003083,0.427076,-0.009258,0.387067,1.350078,1.568693,2.280786
0.006898,0.427223,-0.009296,0.386897,1.352167,1.565695,2.287293
0.010129,0.427362,-0.009344,0.386813,1.354318,1.568077,2.287461
0.013428,0.427741,-0.009442,0.386634,1.359304,1.582786,2.287849
0.016729,0.428028,-0.009697,0.386605,1.355669,1.572584,2.299296
0.019893,0.428187,-0.009970,0.386647,1.352411,1.557189,2.309646
0.023094,0.428320,-0.010276,0.386736,1.352101,1.552935,2.312612
0.026797,0.428452,-0.010772,0.386760,1.350769,1.544722,2.317811
0.029623,0.428514,-0.011204,0.386698,1.352141,1.536029,2.319965
0.033098,0.428536,-0.011643,0.386725,1.354158,1.541607,2.315506
0.036555,0.428548,-0.012236,0.386866,1.355908,1.542099,2.312372
0.039892,0.428558,-0.012843,0.387028,1.355968,1.542683,2.308874
0.042923,0.428518,-0.013333,0.387229,1.356319,1.542724,2.306068
0.046829,0.428441,-0.013899,0.387462,1.355367,1.543761,2.304019
0.049467,0.428404,-0.014360,0.387648,1.357153,1.537793,2.302547
0.052999,0.428427,-0.014727,0.387787,1.358552,1.535887,2.303080
0.056748,0.428443,-0.015313,0.388019,1.359480,1.536784,2.300760
0.060159,0.428522,-0.015886,0.388286,1.358964,1.539507,2.299311
0.063444,0.428651,-0.016421,0.388511,1.359419,1.541647,2.297780
0.066505,0.428816,-0.016940,0.388682,1.358641,1.543816,2.298098
0.069719,0.428950,-0.017439,0.388775,1.358576,1.547461,2.295420
0.073183,0.429050,-0.017841,0.388860,1.358307,1.550259,2.294405
0.076368,0.429080,-0.018178,0.388921,1.360993,1.551013,2.293430
0.080414,0.429068,-0.018500,0.388973,1.363523,1.550881,2.293050
0.083271,0.429086,-0.018931,0.389095,1.364399,1.553919,2.290003
0.086884,0.429064,-0.019390,0.389240,1.366517,1.554922,2.286399
0.089904,0.429097,-0.019693,0.389297,1.369331,1.554146,2.285336
0.093291,0.429132,-0.020076,0.389333,1.370324,1.554824,2.282455
0.096890,0.429157,-0.020526,0.389344,1.372932,1.555746,2.277388
0.099925,0.429055,-0.020906,0.389445,1.377665,1.550380,2.274791
0.103388,0.428964,-0.021245,0.389523,1.380253,1.546427,2.272986
0.106778,0.428895,-0.021765,0.389672,1.384958,1.547167,2.267793
0.110091,0.428833,-0.022189,0.389840,1.388444,1.541876,2.264963
0.112809,0.428928,-0.022571,0.390080,1.388706,1.536911,2.264727
0.116440,0.429046,-0.023132,0.390368,1.386331,1.543368,2.264291
0.123120,0.429513,-0.023961,0.390694,1.383440,1.546159,2.265220
0.138369,0.430112,-0.024588,0.390948,1.375778,1.543619,2.272709
0.152755,0.430771,-0.025229,0.391219,1.369153,1.543782,2.280582
0.155542,0.431321,-0.025919,0.391503,1.362815,1.545137,2.287063
0.162892,0.431777,-0.026613,0.391837,1.360567,1.539963,2.290538
0.164807,0.431898,-0.027154,0.392206,1.359161,1.539285,2.291870
0.174715,0.431964,-0.027789,0.392511,1.359384,1.533641,2.290074
0.176881,0.431997,-0.028591,0.392853,1.359091,1.532451,2.287026
0.195072,0.432091,-0.029533,0.393254,1.358989,1.531305,2.283199
0.198286,0.432287,-0.030275,0.393491,1.357915,1.527423,2.281815
0.206280,0.432478,-0.030959,0.393711,1.357549,1.522551,2.280189
0.209979,0.432670,-0.031693,0.394026,1.357893,1.530719,2.276562
0.214332,0.432762,-0.032393,0.394385,1.361393,1.536709,2.270788
0.217039,0.432743,-0.032887,0.394661,1.364129,1.536937,2.267361
0.219893,0.432992,-0.033780,0.395041,1.366160,1.545658,2.261130
0.228782,0.433288,-0.034653,0.395371,1.369174,1.549436,2.259056
0.238164,0.433332,-0.035582,0.395979,1.364674,1.539861,2.258429
0.248618,0.433486,-0.036445,0.396469,1.356530,1.524452,2.259304
0.257143,0.433787,-0.037254,0.396860,1.358086,1.528802,2.258305
0.261072,0.433860,-0.037625,0.397094,1.357287,1.518651,2.261902
0.264096,0.433890,-0.037919,0.397336,1.356133,1.516553,2.261179
0.266614,0.434136,-0.037918,0.397166,1.359420,1.521754,2.260858
0.270591,0.434352,-0.037884,0.397121,1.363550,1.535446,2.262588
0.273344,0.434533,-0.037854,0.397042,1.361300,1.529942,2.264675
0.277049,0.434696,-0.037897,0.397111,1.359780,1.533768,2.265444
0.280669,0.434834,-0.038036,0.397175,1.356125,1.533913,2.266661
0.283809,0.434927,-0.038352,0.397252,1.359590,1.531696,2.266491
0.287536,0.434992,-0.038661,0.397237,1.363174,1.524678,2.265796
0.290607,0.434953,-0.039047,0.397385,1.365364,1.522699,2.264553
0.293684,0.434943,-0.039374,0.397417,1.365512,1.521402,2.262287
0.297384,0.434980,-0.039648,0.397509,1.367079,1.521421,2.261933
0.300631,0.435006,-0.039852,0.397643,1.363975,1.527478,2.259089
0.304223,0.435039,-0.040076,0.397779,1.362152,1.532526,2.257664
0.307275,0.435109,-0.040277,0.397855,1.360155,1.539532,2.255897
0.310497,0.435112,-0.040574,0.397937,1.360871,1.543156,2.253997
0.314254,0.435121,-0.040864,0.397971,1.360804,1.546373,2.251147
0.317071,0.435134,-0.041152,0.397989,1.362508,1.543531,2.252109
0.320784,0.435107,-0.041503,0.398016,1.363901,1.545307,2.249368
0.323869,0.435026,-0.041826,0.398045,1.366040,1.541467,2.248559
0.326958,0.434906,-0.042181,0.398161,1.369634,1.542308,2.244863
0.330792,0.434746,-0.042539,0.398318,1.373141,1.539332,2.243157
0.333409,0.434620,-0.042823,0.398449,1.375028,1.535723,2.242070
0.336839,0.434539,-0.043012,0.398599,1.377819,1.530851,2.243158
0.340899,0.434574,-0.043251,0.398716,1.379444,1.528369,2.244378
0.344043,0.434659,-0.043445,0.398729,1.378245,1.527636,2.245554
0.347408,0.434708,-0.043748,0.398796,1.378447,1.528854,2.244905
0.350987,0.434716,-0.044139,0.398899,1.380160,1.532648,2.242556
0.353844,0.434713,-0.044531,0.398978,1.378970,1.533665,2.240576
0.356887,0.434695,-0.044885,0.399114,1.376252,1.535758,2.238408
0.361021,0.434674,-0.045235,0.399287,1.376085,1.531385,2.239026
0.364081,0.434649,-0.045524,0.399451,1.374746,1.528852,2.238782
0.367213,0.434528,-0.045832,0.399619,1.375271,1.529354,2.237687
0.370892,0.434403,-0.046170,0.399777,1.376088,1.531244,2.235595
0.373843,0.434393,-0.046486,0.399947,1.377197,1.529959,2.235016
0.377091,0.434384,-0.046775,0.400089,1.377955,1.531016,2.235960
0.380935,0.434439,-0.047081,0.400063,1.381443,1.530250,2.234227
0.384162,0.434584,-0.047360,0.400062,1.380432,1.525266,2.236699
0.387298,0.434723,-0.047625,0.400092,1.380055,1.526059,2.237282
0.390477,0.434666,-0.047953,0.400061,1.377843,1.521740,2.232877
0.393367,0.434600,-0.048251,0.400087,1.379079,1.520624,2.229373
0.397595,0.434612,-0.048513,0.400174,1.377474,1.519865,2.230506
0.400867,0.434642,-0.048736,0.400237,1.375928,1.520819,2.229465
0.403530,0.434701,-0.048923,0.400233,1.374201,1.517703,2.229878
0.413814,0.434974,-0.049498,0.400332,1.375949,1.522308,2.233671
0.417559,0.435041,-0.049787,0.400507,1.374071,1.523505,2.234967
0.420712,0.435084,-0.050099,0.400743,1.373421,1.523563,2.234837
0.424178,0.435119,-0.050524,0.401026,1.373275,1.523770,2.232882
0.426680,0.435132,-0.050907,0.401309,1.373833,1.521486,2.231520
0.430676,0.435222,-0.051110,0.401380,1.372259,1.519590,2.232885
0.434013,0.435335,-0.051265,0.401423,1.370616,1.517953,2.234283
0.437305,0.435520,-0.051464,0.401463,1.366917,1.519140,2.235182
0.440760,0.435712,-0.051533,0.401479,1.363928,1.519416,2.237894
0.443089,0.435746,-0.051618,0.401592,1.362470,1.518562,2.241484
0.447215,0.435605,-0.051718,0.401741,1.364879,1.516092,2.241324
0.450426,0.435459,-0.051820,0.401887,1.366779,1.512708,2.241504
0.454070,0.435377,-0.051863,0.402002,1.366608,1.511518,2.242350
0.457209,0.435225,-0.051884,0.402106,1.368596,1.508093,2.243167
0.474992,0.435212,-0.051885,0.402108,1.369117,1.507704,2.242663
0.582556,0.436103,-0.055383,0.403959,1.358455,1.497827,2.237880
0.601591,0.436059,-0.056082,0.403537,1.387778,1.462788,2.234172
0.621725,0.436086,-0.056206,0.403616,1.384819,1.456729,2.239988
0.640907,0.436642,-0.056241,0.403567,1.375943,1.454650,2.250796
0.647968,0.436634,-0.056202,0.403559,1.375943,1.454650,2.250796
0.651484,0.436664,-0.056199,0.403549,1.375943,1.454650,2.250796
0.672675,0.436489,-0.055874,0.403788,1.376579,1.454979,2.257424
0.677695,0.436643,-0.055857,0.403794,1.373359,1.452684,2.260542
0.681241,0.436751,-0.055786,0.403803,1.371881,1.451131,2.261486
0.684687,0.436859,-0.055556,0.403833,1.365039,1.454160,2.266032
0.688100,0.436946,-0.055315,0.403834,1.363147,1.450903,2.270659
0.691265,0.436988,-0.055111,0.403872,1.357055,1.452827,2.274905
0.694517,0.436948,-0.054865,0.403893,1.353566,1.454712,2.277924
0.698008,0.436881,-0.054647,0.403901,1.348335,1.455811,2.282848
0.701204,0.436844,-0.054480,0.403841,1.349353,1.447136,2.286658
0.704920,0.436826,-0.054334,0.403818,1.345503,1.443414,2.291394
0.707569,0.436860,-0.054245,0.403825,1.344915,1.437114,2.294429
0.711474,0.436872,-0.054170,0.403816,1.343121,1.433527,2.296886
0.715195,0.436881,-0.054069,0.403800,1.343612,1.426154,2.301199
0.717966,0.436893,-0.054042,0.403807,1.342274,1.426037,2.303345
0.721568,0.436906,-0.054016,0.403815,1.341029,1.425607,2.305019
0.725221,0.436851,-0.053759,0.403623,1.339504,1.419513,2.309388
0.727719,0.436807,-0.053457,0.403435,1.339019,1.410214,2.314662
0.731716,0.436796,-0.053208,0.403243,1.337176,1.406060,2.317402
0.735171,0.436792,-0.052962,0.403058,1.324598,1.411431,2.320663
0.738227,0.436864,-0.052823,0.402883,1.322568,1.400772,2.325015
0.741603,0.436915,-0.052932,0.403011,1.321561,1.401434,2.326053
0.745174,0.436955,-0.053087,0.403135,1.310454,1.416601,2.325571
0.748443,0.437264,-0.053271,0.403219,1.309202,1.407879,2.328113
0.751548,0.437432,-0.053282,0.403164,1.307448,1.401384,2.331721
0.755140,0.437615,-0.053164,0.403031,1.303264,1.401955,2.335338
0.758385,0.437860,-0.052958,0.402773,1.298834,1.391241,2.343622
0.761720,0.438167,-0.052735,0.402541,1.303526,1.359359,2.355149
0.771489,0.438449,-0.052308,0.402450,1.300045,1.358836,2.360962
0.774887,0.438529,-0.052251,0.402521,1.307966,1.343633,2.366690
0.778668,0.438431,-0.052300,0.402465,1.306715,1.330547,2.373117
0.782017,0.438317,-0.052345,0.402405,1.305157,1.318290,2.377584
0.784836,0.438277,-0.052207,0.402197,1.305104,1.318965,2.378051
0.787767,0.438279,-0.052051,0.401933,1.303037,1.312022,2.381936
0.791632,0.438354,-0.051820,0.401493,1.300171,1.300413,2.386848
0.808746,0.438548,-0.051430,0.401002,1.296391,1.283489,2.395331
0.823743,0.438764,-0.051043,0.400422,1.295829,1.278617,2.398000
0.831516,0.438875,-0.050845,0.399931,1.295043,1.268677,2.403125
0.842920,0.438957,-0.050667,0.399443,1.295264,1.265367,2.406544
0.845321,0.438944,-0.050223,0.398669,1.297486,1.260927,2.412955
0.863800,0.438930,-0.049822,0.397986,1.301005,1.269072,2.414668
0.877064,0.438920,-0.049423,0.397362,1.302754,1.267299,2.421010
0.880008,0.438949,-0.049025,0.396701,1.304308,1.264464,2.426683
0.886366,0.438962,-0.048579,0.395939,1.306863,1.252906,2.433880
0.895111,0.439037,-0.048446,0.395539,1.309595,1.247410,2.439493
0.907352,0.439167,-0.048190,0.395177,1.311249,1.243047,2.442306
0.909141,0.439415,-0.047897,0.394740,1.310906,1.234781,2.448417
0.921722,0.439710,-0.047448,0.394345,1.311047,1.212286,2.459674
0.931961,0.440037,-0.047031,0.394009,1.307714,1.176991,2.475333
0.939063,0.440423,-0.046141,0.393363,1.302615,1.141927,2.489253
0.942536,0.440531,-0.045681,0.393049,1.299108,1.107643,2.505220
0.949255,0.440658,-0.044906,0.392477,1.297011,1.073405,2.519625
0.953059,0.440811,-0.044560,0.392221,1.294517,1.058194,2.526718
0.963249,0.441014,-0.043933,0.391880,1.294254,1.057252,2.530568
0.988843,0.443944,-0.041634,0.390475,1.282063,1.096742,2.535286
0.992222,0.443968,-0.041626,0.390435,1.285669,1.105169,2.533126
0.998496,0.444186,-0.041157,0.390112,1.285501,1.095014,2.536769
1.002251,0.444274,-0.040892,0.389862,1.285554,1.091450,2.536493
1.009441,0.444455,-0.040378,0.389337,1.283768,1.072354,2.540999
1.012722,0.444503,-0.040287,0.389128,1.284559,1.063919,2.546617
1.019127,0.444678,-0.039476,0.388649,1.280282,1.040764,2.553644
1.022846,0.445042,-0.038593,0.388405,1.282311,1.050567,2.555031
1.026077,0.445389,-0.037728,0.388204,1.283946,1.060030,2.557771
1.029272,0.445767,-0.036869,0.388035,1.282983,1.056415,2.562535
1.032784,0.446045,-0.036368,0.387819,1.283554,1.073040,2.561284
1.036183,0.446299,-0.035785,0.387622,1.283195,1.078539,2.562185
1.039530,0.446259,-0.035596,0.387340,1.280644,1.064910,2.564646
1.043158,0.446310,-0.035173,0.386962,1.279983,1.050304,2.569625
1.046243,0.446357,-0.034785,0.386603,1.281768,1.091945,2.563173
1.048901,0.446561,-0.034374,0.386442,1.281623,1.096223,2.563791
1.059315,0.447687,-0.033189,0.386360,1.283618,1.137713,2.556358
1.062848,0.448008,-0.032848,0.386365,1.283647,1.180587,2.549026
1.069389,0.448386,-0.031931,0.386032,1.282738,1.224682,2.538911
1.073004,0.448438,-0.031636,0.385857,1.284567,1.206332,2.544222
1.079224,0.448687,-0.029993,0.385416,1.288387,1.197840,2.543747
1.083069,0.448680,-0.028968,0.385099,1.296881,1.181492,2.548710
1.093114,0.448207,-0.025983,0.383865,1.304722,1.172941,2.550883
1.099578,0.448053,-0.024916,0.383345,1.310004,1.151790,2.554860
1.102760,0.448101,-0.024534,0.383217,1.317153,1.154605,2.553314
1.119126,0.449268,-0.020826,0.382296,1.322503,1.207480,2.551697
1.123198,0.449390,-0.020664,0.382258,1.322503,1.207480,2.551697
1.129537,0.449500,-0.020486,0.382223,1.322503,1.207480,2.551697
1.231744,0.452073,0.005955,0.372033,1.315604,1.197114,2.570739
1.282446,0.449069,0.020326,0.362935,-1.351480,-1.217521,-2.504796
1.289360,0.448854,0.020490,0.362779,-1.354449,-1.214277,-2.505607
1.292568,0.448720,0.020830,0.362539,-1.355112,-1.207390,-2.507224
1.299247,0.448741,0.022741,0.361318,-1.362566,-1.183288,-2.523906
1.302451,0.448824,0.023695,0.360683,-1.367967,-1.167745,-2.534199
1.305800,0.448874,0.024579,0.360184,-1.366836,-1.167470,-2.532242
1.308911,0.448868,0.025341,0.359648,-1.370298,-1.164314,-2.530994
1.312754,0.448838,0.025593,0.359293,-1.374687,-1.167515,-2.528020
1.316315,0.448894,0.026051,0.358833,-1.372112,-1.187892,-2.508891
1.318973,0.449170,0.026835,0.358200,-1.371549,-1.184627,-2.513146
1.322665,0.449501,0.027658,0.357535,-1.372786,-1.174055,-2.522456
1.326544,0.449730,0.028779,0.356917,-1.374260,-1.159381,-2.529888
1.328704,0.449929,0.029887,0.356293,-1.375782,-1.142833,-2.537552
1.332596,0.449972,0.030646,0.355751,-1.373259,-1.144075,-2.535601
1.335622,0.449828,0.031166,0.355195,-1.372968,-1.158768,-2.518364
1.339220,0.449639,0.031596,0.354658,-1.371311,-1.170185,-2.506904
1.342098,0.449745,0.031984,0.353958,-1.363372,-1.189784,-2.495454
1.344944,0.449916,0.032726,0.353324,-1.362846,-1.191645,-2.494821
1.349444,0.450106,0.033804,0.352436,-1.362864,-1.192301,-2.490338
1.352492,0.450267,0.035022,0.351416,-1.362485,-1.189595,-2.488380
1.358947,0.450523,0.037353,0.349382,-1.364533,-1.181528,-2.486976
1.362628,0.450506,0.038139,0.348474,-1.368242,-1.179653,-2.483621
1.365700,0.450495,0.038748,0.347787,-1.364566,-1.191694,-2.467872
1.369399,0.450532,0.039287,0.347331,-1.368161,-1.187894,-2.468475
1.372590,0.450703,0.040057,0.346913,-1.375876,-1.170392,-2.475788
1.375321,0.450938,0.040912,0.346371,-1.382042,-1.159184,-2.481489
1.379264,0.451273,0.041741,0.345791,-1.386111,-1.140617,-2.489300
1.382076,0.451704,0.042736,0.345186,-1.387680,-1.125379,-2.498356
1.388240,0.451937,0.044636,0.343902,-1.389385,-1.117483,-2.494307
1.391875,0.451770,0.045506,0.343118,-1.385798,-1.128182,-2.480164
1.395369,0.451568,0.046403,0.342309,-1.382184,-1.134040,-2.465998
1.399002,0.451374,0.047209,0.341409,-1.384147,-1.139978,-2.452390
1.402374,0.451271,0.047956,0.340364,-1.388357,-1.146563,-2.438832
1.405736,0.451635,0.048722,0.339510,-1.389289,-1.144217,-2.435554
1.408967,0.451908,0.049553,0.338541,-1.395029,-1.129684,-2.442666
1.412375,0.452149,0.050374,0.337806,-1.398286,-1.131016,-2.440470
1.415722,0.452546,0.051715,0.336779,-1.400389,-1.116219,-2.445231
1.418526,0.452861,0.053040,0.335832,-1.404719,-1.100006,-2.450578
1.421690,0.453193,0.054278,0.334749,-1.387842,-1.084343,-2.463871
1.428420,0.454451,0.057363,0.333700,-1.357723,-1.076388,-2.465962
1.438870,0.457231,0.062798,0.333861,-1.338429,-1.054423,-2.478406
1.441761,0.457925,0.064366,0.333667,-1.318569,-1.051888,-2.478872
1.452155,0.457949,0.066822,0.332147,-1.295012,-1.049376,-2.483458
1.455648,0.457975,0.067923,0.331139,-1.288834,-1.043425,-2.476134
1.458906,0.458087,0.069076,0.330177,-1.298584,-1.042886,-2.473945
1.462043,0.458272,0.070210,0.329237,-1.296730,-1.041988,-2.468554
1.469245,0.458894,0.072812,0.327296,-1.290613,-1.038577,-2.472349
1.473531,0.458955,0.073527,0.326882,-1.285409,-1.034119,-2.470974
1.489648,0.459146,0.074827,0.325697,-1.288885,-1.028555,-2.475114
1.491167,0.459312,0.076503,0.324460,-1.274759,-1.019540,-2.478712
1.504879,0.459660,0.078209,0.323138,-1.271029,-1.011103,-2.482855
1.507605,0.460034,0.079830,0.321806,-1.267192,-0.998243,-2.483598
1.510691,0.460317,0.081506,0.320566,-1.258108,-0.987647,-2.488043
1.518672,0.460488,0.082787,0.319873,-1.252044,-0.975099,-2.491274
1.520503,0.460604,0.083905,0.318983,-1.257575,-0.964897,-2.491906
1.533828,0.461173,0.087745,0.315677,-1.251280,-0.944555,-2.494428
1.552732,0.461549,0.090158,0.313515,-1.247205,-0.937370,-2.497309
1.562355,0.461994,0.092444,0.311115,-1.247385,-0.922122,-2.497181
1.567294,0.462569,0.094694,0.308873,-1.243018,-0.919075,-2.497852
1.570651,0.463064,0.096738,0.306401,-1.239916,-0.910881,-2.497173
1.579099,0.463183,0.097563,0.304691,-1.243605,-0.911156,-2.496898
1.591460,0.463327,0.098253,0.302852,-1.250412,-0.900518,-2.496745
1.592527,0.463500,0.099019,0.301148,-1.262629,-0.896875,-2.496754
1.600931,0.463626,0.099847,0.299343,-1.271523,-0.880564,-2.495707
1.603822,0.463755,0.100574,0.298301,-1.278696,-0.873196,-2.498500
1.610542,0.463895,0.101274,0.297312,-1.282439,-0.864287,-2.500838
1.614576,0.464095,0.102262,0.296595,-1.279930,-0.855716,-2.501864
1.618179,0.464206,0.103223,0.295961,-1.272993,-0.850361,-2.502954
1.620894,0.464363,0.104024,0.295295,-1.270524,-0.848004,-2.507199
