t_sec,wall_time,trial_time,action,command,status,message
528.310132,1787193015.175350,0.030925,thumb_in,@ROG<11>&,error,source=10.12.194.1:34666; rpi_wall=1785025310.2231812; rpi_monotonic=867.34355222; [Errno 111] Connection refused
528.362954,1787193015.228173,0.083747,thumb_in,@ROG<11>&,error,source=10.12.194.1:36894; rpi_wall=1785025310.275888; rpi_monotonic=867.396258782; [Errno 111] Connection refused
528.417003,1787193015.282221,0.137796,thumb_in,@ROG<11>&,error,source=10.12.194.1:58561; rpi_wall=1785025310.3288562; rpi_monotonic=867.44922722; [Errno 111] Connection refused
528.474676,1787193015.339895,0.195469,thumb_in,@ROG<11>&,error,source=10.12.194.1:35531; rpi_wall=1785025310.3821833; rpi_monotonic=867.502553939; [Errno 111] Connection refused
528.525369,1787193015.390588,0.246163,thumb_in,@ROG<11>&,error,source=10.12.194.1:33286; rpi_wall=1785025310.4353235; rpi_monotonic=867.555693782; [Errno 111] Connection refused
528.575811,1787193015.441029,0.296604,thumb_in,@ROG<11>&,error,source=10.12.194.1:39734; rpi_wall=1785025310.488279; rpi_monotonic=867.60864972; [Errno 111] Connection refused
528.629113,1787193015.494332,0.349906,thumb_in,@ROG<11>&,error,source=10.12.194.1:37624; rpi_wall=1785025310.5417125; rpi_monotonic=867.662083522; [Errno 111] Connection refused
528.681604,1787193015.546823,0.402397,thumb_in,@ROG<11>&,error,source=10.12.194.1:56598; rpi_wall=1785025310.594611; rpi_monotonic=867.714981595; [Errno 111] Connection refused
528.735031,1787193015.600250,0.455824,thumb_in,@ROG<11>&,error,source=10.12.194.1:39933; rpi_wall=1785025310.648093; rpi_monotonic=867.768463366; [Errno 111] Connection refused
528.789071,1787193015.654290,0.509865,thumb_in,@ROG<11>&,error,source=10.12.194.1:40339; rpi_wall=1785025310.7009091; rpi_monotonic=867.821279407; [Errno 111] Connection refused
528.847199,1787193015.712417,0.567992,thumb_in,@ROG<11>&,error,source=10.12.194.1:33621; rpi_wall=1785025310.7538574; rpi_monotonic=867.874227897; [Errno 111] Connection refused
528.894322,1787193015.759541,0.615115,thumb_in,@ROG<11>&,error,source=10.12.194.1:36111; rpi_wall=1785025310.807177; rpi_monotonic=867.927547584; [Errno 111] Connection refused
528.947183,1787193015.812402,0.667977,thumb_in,@ROG<11>&,error,source=10.12.194.1:50661; rpi_wall=1785025310.8600113; rpi_monotonic=867.980382688; [Errno 111] Connection refused
529.000212,1787193015.865430,0.721005,thumb_in,@ROG<11>&,error,source=10.12.194.1:44646; rpi_wall=1785025310.913017; rpi_monotonic=868.033387532; [Errno 111] Connection refused
529.053192,1787193015.918410,0.773985,thumb_in,@ROG<11>&,error,source=10.12.194.1:33360; rpi_wall=1785025310.9662864; rpi_monotonic=868.08665722; [Errno 111] Connection refused
529.110368,1787193015.975586,0.831161,thumb_in,@ROG<11>&,error,source=10.12.194.1:57152; rpi_wall=1785025311.0191975; rpi_monotonic=868.139567688; [Errno 111] Connection refused
529.159788,1787193016.025007,0.880581,thumb_in,@ROG<11>&,error,source=10.12.194.1:60654; rpi_wall=1785025311.0725946; rpi_monotonic=868.192965553; [Errno 111] Connection refused
529.212434,1787193016.077653,0.933228,thumb_in,@ROG<11>&,error,source=10.12.194.1:55531; rpi_wall=1785025311.1255085; rpi_monotonic=868.24587972; [Errno 111] Connection refused
529.266435,1787193016.131654,0.987228,thumb_in,@ROG<11>&,error,source=10.12.194.1:58087; rpi_wall=1785025311.17882; rpi_monotonic=868.299190969; [Errno 111] Connection refused
529.318818,1787193016.184037,1.039612,thumb_in,@ROG<11>&,error,source=10.12.194.1:47610; rpi_wall=1785025311.2318459; rpi_monotonic=868.35221649; [Errno 111] Connection refused
529.372443,1787193016.237662,1.093236,thumb_in,@ROG<11>&,error,source=10.12.194.1:39149; rpi_wall=1785025311.2851691; rpi_monotonic=868.405539667; [Errno 111] Connection refused
529.433414,1787193016.298632,1.154207,thumb_in,@ROG<11>&,error,source=10.12.194.1:39129; rpi_wall=1785025311.338066; rpi_monotonic=868.458436647; [Errno 111] Connection refused
529.487809,1787193016.353027,1.208602,thumb_in,@ROG<11>&,error,source=10.12.194.1:54296; rpi_wall=1785025311.391483; rpi_monotonic=868.511853678; [Errno 111] Connection refused
529.533807,1787193016.399026,1.254601,thumb_in,@ROG<11>&,error,source=10.12.194.1:45568; rpi_wall=1785025311.4446073; rpi_monotonic=868.564977636; [Errno 111] Connection refused
529.585029,1787193016.450248,1.305823,thumb_in,@ROG<11>&,error,source=10.12.194.1:33538; rpi_wall=1785025311.4973083; rpi_monotonic=868.617678626; [Errno 111] Connection refused
529.638253,1787193016.503472,1.359047,thumb_in,@ROG<11>&,error,source=10.12.194.1:48343; rpi_wall=1785025311.5502646; rpi_monotonic=868.670635969; [Errno 111] Connection refused
529.691142,1787193016.556360,1.411935,thumb_in,@ROG<11>&,error,source=10.12.194.1:43163; rpi_wall=1785025311.6036694; rpi_monotonic=868.724040501; [Errno 111] Connection refused
529.743294,1787193016.608512,1.464087,thumb_in,@ROG<11>&,error,source=10.12.194.1:58566; rpi_wall=1785025311.6563811; rpi_monotonic=868.77675149; [Errno 111] Connection refused
529.798145,1787193016.663364,1.518939,thumb_in,@ROG<11>&,error,source=10.12.194.1:38638; rpi_wall=1785025311.7093074; rpi_monotonic=868.829678209; [Errno 111] Connection refused
529.850039,1787193016.715257,1.570832,thumb_in,@ROG<11>&,error,source=10.12.194.1:47944; rpi_wall=1785025311.7626896; rpi_monotonic=868.883060032; [Errno 111] Connection refused
529.902889,1787193016.768108,1.623683,thumb_in,@ROG<11>&,error,source=10.12.194.1:48002; rpi_wall=1785025311.8156621; rpi_monotonic=868.936032636; [Errno 111] Connection refused
529.956355,1787193016.821573,1.677148,thumb_in,@ROG<11>&,error,source=10.12.194.1:46237; rpi_wall=1785025311.869085; rpi_monotonic=868.989455605; [Errno 111] Connection refused
530.010003,1787193016.875222,1.730797,thumb_in,@ROG<11>&,error,source=10.12.194.1:44238; rpi_wall=1785025311.9221423; rpi_monotonic=869.042513417; [Errno 111] Connection refused
530.062777,1787193016.927995,1.783570,thumb_in,@ROG<11>&,error,source=10.12.194.1:49882; rpi_wall=1785025311.9753888; rpi_monotonic=869.095759094; [Errno 111] Connection refused
530.115370,1787193016.980588,1.836163,thumb_in,@ROG<11>&,error,source=10.12.194.1:44052; rpi_wall=1785025312.028303; rpi_monotonic=869.148673157; [Errno 111] Connection refused
530.169446,1787193017.034664,1.890239,thumb_in,@ROG<11>&,error,source=10.12.194.1:56026; rpi_wall=1785025312.081686; rpi_monotonic=869.202056907; [Errno 111] Connection refused
530.221518,1787193017.086737,1.942312,thumb_in,@ROG<11>&,error,source=10.12.194.1:33266; rpi_wall=1785025312.1346068; rpi_monotonic=869.254977115; [Errno 111] Connection refused
530.274890,1787193017.140109,1.995684,thumb_in,@ROG<11>&,error,source=10.12.194.1:50718; rpi_wall=1785025312.1880345; rpi_monotonic=869.308404667; [Errno 111] Connection refused
530.328258,1787193017.193476,2.049051,thumb_in,@ROG<11>&,error,source=10.12.194.1:47143; rpi_wall=1785025312.241003; rpi_monotonic=869.361373677; [Errno 111] Connection refused
530.381421,1787193017.246640,2.102215,thumb_in,@ROG<11>&,error,source=10.12.194.1:39934; rpi_wall=1785025312.2943318; rpi_monotonic=869.414702896; [Errno 111] Connection refused
530.434348,1787193017.299567,2.155142,thumb_in,@ROG<11>&,error,source=10.12.194.1:33048; rpi_wall=1785025312.3470273; rpi_monotonic=869.467398052; [Errno 111] Connection refused
530.487237,1787193017.352456,2.208031,thumb_in,@ROG<11>&,error,source=10.12.194.1:41716; rpi_wall=1785025312.3998525; rpi_monotonic=869.520223052; [Errno 111] Connection refused
