t_sec,x_m,y_m,z_m,rx_rad,ry_rad,rz_rad
0.003083,0.347076,-0.009258,0.387067,2.219330,0.802675,0.572066
0.006898,0.347223,-0.009296,0.386897,2.224350,0.804531,0.574408
0.010129,0.347362,-0.009344,0.386813,2.224805,0.807525,0.572839
0.013428,0.347741,-0.009442,0.386634,2.223085,0.822970,0.568171
0.016729,0.348028,-0.009697,0.386605,2.229669,0.819370,0.577532
0.019893,0.348187,-0.009970,0.386647,2.237505,0.810477,0.586698
0.023094,0.348320,-0.010276,0.386736,2.240022,0.808286,0.588908
0.026797,0.348452,-0.010772,0.386760,2.244263,0.803507,0.593382
0.029623,0.348514,-0.011204,0.386698,2.248607,0.797275,0.594608
0.033098,0.348536,-0.011643,0.386725,2.245855,0.800293,0.590371
0.036555,0.348548,-0.012236,0.386866,2.245129,0.799366,0.587575
0.039892,0.348558,-0.012843,0.387028,2.243346,0.797756,0.585671
0.042923,0.348518,-0.013333,0.387229,2.242198,0.796171,0.583997
0.046829,0.348441,-0.013899,0.387462,2.240439,0.795556,0.583439
0.049467,0.348404,-0.014360,0.387648,2.242463,0.789716,0.582208
0.052999,0.348427,-0.014727,0.387787,2.244002,0.788738,0.581794
0.056748,0.348443,-0.015313,0.388019,2.243113,0.788434,0.579896
0.060159,0.348522,-0.015886,0.388286,2.241346,0.789887,0.579175
0.063444,0.348651,-0.016421,0.388511,2.240212,0.791066,0.577849
0.066505,0.348816,-0.016940,0.388682,2.239310,0.793013,0.578270
0.069719,0.348950,-0.017439,0.388775,2.236918,0.794711,0.576520
0.073183,0.349050,-0.017841,0.388860,2.235460,0.796586,0.575855
0.076368,0.349080,-0.018178,0.388921,2.236139,0.797551,0.573534
0.080414,0.349068,-0.018500,0.388973,2.237286,0.798014,0.571720
0.083271,0.349086,-0.018931,0.389095,2.235383,0.799237,0.569244
0.086884,0.349064,-0.019390,0.389240,2.234463,0.798645,0.565909
0.089904,0.349097,-0.019693,0.389297,2.235626,0.798192,0.563631
0.093291,0.349132,-0.020076,0.389333,2.234571,0.797383,0.561430
0.096890,0.349157,-0.020526,0.389344,2.233233,0.795998,0.557029
0.099925,0.349055,-0.020906,0.389445,2.236030,0.791002,0.553222
0.103388,0.348964,-0.021245,0.389523,2.237686,0.787100,0.551048
0.106778,0.348895,-0.021765,0.389672,2.237400,0.786179,0.545238
0.110091,0.348833,-0.022189,0.389840,2.239428,0.780722,0.542087
0.112809,0.348928,-0.022571,0.390080,2.240947,0.776078,0.542328
0.116440,0.349046,-0.023132,0.390368,2.237586,0.780997,0.542943
0.123120,0.349513,-0.023961,0.390694,2.235717,0.783188,0.544993
0.138369,0.350112,-0.024588,0.390948,2.236126,0.782871,0.554101
0.152755,0.350771,-0.025229,0.391219,2.236424,0.785655,0.562440
0.155542,0.351321,-0.025919,0.391503,2.235845,0.788811,0.569734
0.162892,0.351777,-0.026613,0.391837,2.237897,0.785433,0.573560
0.164807,0.351898,-0.027154,0.392206,2.238013,0.785169,0.575234
0.174715,0.351964,-0.027789,0.392511,2.238980,0.778927,0.574795
0.176881,0.351997,-0.028591,0.392853,2.237750,0.775865,0.573541
0.195072,0.352091,-0.029533,0.393254,2.236232,0.772431,0.571753
0.198286,0.352287,-0.030275,0.393491,2.236193,0.767652,0.572164
0.206280,0.352478,-0.030959,0.393711,2.236697,0.762040,0.572100
0.209979,0.352670,-0.031693,0.394026,2.232700,0.767486,0.569086
0.214332,0.352762,-0.032393,0.394385,2.229955,0.770642,0.563162
0.217039,0.352743,-0.032887,0.394661,2.229658,0.769658,0.559587
0.219893,0.352992,-0.033780,0.395041,2.225127,0.774615,0.554083
0.228782,0.353288,-0.034653,0.395371,2.224550,0.777839,0.550648
0.238164,0.353332,-0.035582,0.395979,2.224815,0.767141,0.554270
0.248618,0.353486,-0.036445,0.396469,2.225649,0.750783,0.561680
0.257143,0.353787,-0.037254,0.396860,2.224676,0.754706,0.559675
0.261072,0.353860,-0.037625,0.397094,2.229009,0.747231,0.563179
0.264096,0.353890,-0.037919,0.397336,2.228695,0.744482,0.563780
0.266614,0.354136,-0.037918,0.397166,2.228681,0.750157,0.560912
0.270591,0.354352,-0.037884,0.397121,2.227538,0.765203,0.557642
0.273344,0.354533,-0.037854,0.397042,2.229024,0.760647,0.560787
0.277049,0.354696,-0.037897,0.397111,2.227468,0.764161,0.561751
0.280669,0.354834,-0.038036,0.397175,2.226132,0.763856,0.564733
0.283809,0.354927,-0.038352,0.397252,2.228489,0.762817,0.562647
0.287536,0.354992,-0.038661,0.397237,2.232093,0.757065,0.560734
0.290607,0.354953,-0.039047,0.397385,2.233215,0.755191,0.558884
0.293684,0.354943,-0.039374,0.397417,2.232597,0.752667,0.557747
0.297384,0.354980,-0.039648,0.397509,2.233226,0.752979,0.556545
0.300631,0.355006,-0.039852,0.397643,2.228467,0.755854,0.556414
0.304223,0.355039,-0.040076,0.397779,2.225346,0.759076,0.556302
0.307275,0.355109,-0.040277,0.397855,2.221392,0.763853,0.555910
0.310497,0.355112,-0.040574,0.397937,2.219774,0.766297,0.554063
0.314254,0.355121,-0.040864,0.397971,2.217423,0.767543,0.552273
0.317071,0.355134,-0.041152,0.397989,2.219600,0.766037,0.551982
0.320784,0.355107,-0.041503,0.398016,2.218477,0.766486,0.549462
0.323869,0.355026,-0.041826,0.398045,2.220328,0.763135,0.548073
0.326958,0.354906,-0.042181,0.398161,2.220152,0.762864,0.543731
0.330792,0.354746,-0.042539,0.398318,2.222017,0.760225,0.540892
0.333409,0.354620,-0.042823,0.398449,2.223538,0.756847,0.539488
0.336839,0.354539,-0.043012,0.398599,2.226939,0.753899,0.538769
0.340899,0.354574,-0.043251,0.398716,2.229095,0.752864,0.538618
0.344043,0.354659,-0.043445,0.398729,2.229263,0.752499,0.540087
0.347408,0.354708,-0.043748,0.398796,2.228692,0.753302,0.539487
0.350987,0.354716,-0.044139,0.398899,2.227313,0.755968,0.536748
0.353844,0.354713,-0.044531,0.398978,2.225454,0.755336,0.536375
0.356887,0.354695,-0.044885,0.399114,2.222402,0.755090,0.536778
0.361021,0.354674,-0.045235,0.399287,2.223913,0.751355,0.537672
0.364081,0.354649,-0.045524,0.399451,2.223862,0.748426,0.538679
0.367213,0.354528,-0.045832,0.399619,2.223457,0.748409,0.537713
0.370892,0.354403,-0.046170,0.399777,2.222311,0.749178,0.535888
0.373843,0.354393,-0.046486,0.399947,2.222983,0.748004,0.535002
0.377091,0.354384,-0.046775,0.400089,2.223510,0.749794,0.534895
0.380935,0.354439,-0.047081,0.400063,2.224694,0.749192,0.531810
0.384162,0.354584,-0.047360,0.400062,2.226845,0.745720,0.534284
0.387298,0.354723,-0.047625,0.400092,2.226696,0.746679,0.534750
0.390477,0.354666,-0.047953,0.400061,2.224728,0.739328,0.534326
0.393367,0.354600,-0.048251,0.400087,2.224007,0.736611,0.531800
0.397595,0.354612,-0.048513,0.400174,2.223953,0.736058,0.533516
0.400867,0.354642,-0.048736,0.400237,2.222374,0.735816,0.533871
0.403530,0.354701,-0.048923,0.400233,2.222607,0.732613,0.535535
0.413814,0.354974,-0.049498,0.400332,2.223968,0.739709,0.535910
0.417559,0.355041,-0.049787,0.400507,2.223271,0.740976,0.537681
0.420712,0.355084,-0.050099,0.400743,2.222857,0.740740,0.538028
0.424178,0.355119,-0.050524,0.401026,2.221780,0.739720,0.537075
0.426680,0.355132,-0.050907,0.401309,2.222088,0.736974,0.536239
0.430676,0.355222,-0.051110,0.401380,2.222498,0.735519,0.538176
0.434013,0.355335,-0.051265,0.401423,2.222811,0.734302,0.540148
0.437305,0.355520,-0.051464,0.401463,2.220988,0.734737,0.542893
0.440760,0.355712,-0.051533,0.401479,2.220673,0.735645,0.546225
0.443089,0.355746,-0.051618,0.401592,2.221904,0.736530,0.549145
0.447215,0.355605,-0.051718,0.401741,2.223801,0.734926,0.547764
0.450426,0.355459,-0.051820,0.401887,2.225870,0.732518,0.546986
0.454070,0.355377,-0.051863,0.402002,2.226543,0.731868,0.547668
0.457209,0.355225,-0.051884,0.402106,2.228979,0.729835,0.547172
0.474992,0.355212,-0.051885,0.402108,2.229120,0.729342,0.546610
